Floodplains,Municipalities,Provinces,Rainfall event,,,FMC USE (FOR VLOOKUP),,,
,,,100 Yr,25 Yr,5 Yr,,,,
,Patnongon,Antique,304.5,241.5,165.2,"Patnongon, Antique",304.5,241.5,165.2
,San_Remigio,Antique,304.5,241.5,165.2,"San_Remigio, Antique",304.5,241.5,165.2
,Valderrama,Antique,304.5,241.5,165.2,"Valderrama, Antique",304.5,241.5,165.2
,Jamindan,Capiz,304.5,241.5,165.2,"Jamindan, Capiz",304.5,241.5,165.2
,Tapaz,Capiz,304.5,241.5,165.2,"Tapaz, Capiz",304.5,241.5,165.2
,Lambunao,Iloilo,304.5,241.5,165.2,"Lambunao, Iloilo",304.5,241.5,165.2
Laoag,Bacarra,Ilocos_Norte,602,479.8,331.7,"Bacarra, Ilocos_Norte",602,479.8,331.7
,Banna,Ilocos_Norte,602,479.8,331.7,"Banna, Ilocos_Norte",602,479.8,331.7
,Batac_City,Ilocos_Norte,602,479.8,331.7,"Batac_City, Ilocos_Norte",602,479.8,331.7
,Carasi,Ilocos_Norte,602,479.8,331.7,"Carasi, Ilocos_Norte",602,479.8,331.7
,Dingras,Ilocos_Norte,602,479.8,331.7,"Dingras, Ilocos_Norte",602,479.8,331.7
,Laoag_City,Ilocos_Norte,602,479.8,331.7,"Laoag_City, Ilocos_Norte",602,479.8,331.7
,Marcos,Ilocos_Norte,602,479.8,331.7,"Marcos, Ilocos_Norte",602,479.8,331.7
,Nueva_Era,Ilocos_Norte,602,479.8,331.7,"Nueva_Era, Ilocos_Norte",602,479.8,331.7
,Paoay,Ilocos_Norte,602,479.8,331.7,"Paoay, Ilocos_Norte",602,479.8,331.7
,Paoay_Lake,Ilocos_Norte,602,479.8,331.7,"Paoay_Lake, Ilocos_Norte",602,479.8,331.7
,Piddig,Ilocos_Norte,602,479.8,331.7,"Piddig, Ilocos_Norte",602,479.8,331.7
,Pinili,Ilocos_Norte,602,479.8,331.7,"Pinili, Ilocos_Norte",602,479.8,331.7
,San_Nicolas,Ilocos_Norte,602,479.8,331.7,"San_Nicolas, Ilocos_Norte",602,479.8,331.7
,Sarrat,Ilocos_Norte,602,479.8,331.7,"Sarrat, Ilocos_Norte",602,479.8,331.7
,Solsona,Ilocos_Norte,602,479.8,331.7,"Solsona, Ilocos_Norte",602,479.8,331.7
,Vintar,Ilocos_Norte,602,479.8,331.7,"Vintar, Ilocos_Norte",602,479.8,331.7
Lasang,Panabo_City,Davao_del_Norte,202.1,165.5,121.1,"Panabo_City, Davao_del_Norte",202.1,165.5,121.1
,Davao_City,Davao_del_Sur,202.1,165.5,121.1,"Davao_City, Davao_del_Sur",202.1,165.5,121.1
Lian,Lian,Batangas,434.3,340.4,226.7,"Lian, Batangas",434.3,340.4,226.7
,Nasugbu,Batangas,377.6,301.5,209.4,"Nasugbu, Batangas",377.6,301.5,209.4
,Tuy,Batangas,434.3,340.4,226.7,"Tuy, Batangas",434.3,340.4,226.7
Liangan,Bacolod,Lanao_del_Norte,255.5,204,141.7,"Bacolod, Lanao_del_Norte",255.5,204,141.7
,Maigo,Lanao_del_Norte,294.4,242,178.5,"Maigo, Lanao_del_Norte",294.4,242,178.5
Linugos,Carmen,Agusan_del_Norte,308.6,248.3,175.2,"Carmen, Agusan_del_Norte",308.6,248.3,175.2
,Magsaysay,Misamis_Oriental,308.6,248.3,175.2,"Magsaysay, Misamis_Oriental",308.6,248.3,175.2
Lipadas,Davao_City,Davao_del_Sur,202.1,165.5,121.1,"Davao_City, Davao_del_Sur",202.1,165.5,121.1
,Santa_Cruz,Davao_del_Sur,202.1,165.5,121.1,"Santa_Cruz, Davao_del_Sur",202.1,165.5,121.1
Mainit_Tubay,Cabadbaran_City,Agusan_del_Norte,308.6,248.3,175.2,"Cabadbaran_City, Agusan_del_Norte",308.6,248.3,175.2
,Jabonga,Agusan_del_Norte,308.6,248.3,175.2,"Jabonga, Agusan_del_Norte",308.6,248.3,175.2
,Santiago,Agusan_del_Norte,308.6,248.3,175.2,"Santiago, Agusan_del_Norte",308.6,248.3,175.2
,Tubay,Agusan_del_Norte,308.6,248.3,175.2,"Tubay, Agusan_del_Norte",308.6,248.3,175.2
Malaking_Ilog_&_Bolbok,Lipa_City,Batangas,434.3,340.4,226.7,"Lipa_City, Batangas",434.3,340.4,226.7
,Padre_Garcia,Batangas,434.3,340.4,226.7,"Padre_Garcia, Batangas",434.3,340.4,226.7
,Rosario,Batangas,508.3,404.8,279.5,"Rosario, Batangas",508.3,404.8,279.5
,San_Juan,Batangas,508.3,404.8,279.5,"San_Juan, Batangas",508.3,404.8,279.5
,Taysan,Batangas,434.3,340.4,226.7,"Taysan, Batangas",434.3,340.4,226.7
,Alaminos,Laguna,434.3,340.4,226.7,"Alaminos, Laguna",434.3,340.4,226.7
,Calauan,Laguna,508.3,404.8,279.5,"Calauan, Laguna",508.3,404.8,279.5
,San_Pablo_City,Laguna,508.3,404.8,279.5,"San_Pablo_City, Laguna",508.3,404.8,279.5
,Candelaria,Quezon,508.3,404.8,279.5,"Candelaria, Quezon",508.3,404.8,279.5
,Dolores,Quezon,508.3,404.8,279.5,"Dolores, Quezon",508.3,404.8,279.5
,San_Antonio,Quezon,508.3,404.8,279.5,"San_Antonio, Quezon",508.3,404.8,279.5
,Sariaya,Quezon,508.3,404.8,279.5,"Sariaya, Quezon",508.3,404.8,279.5
,Tiaong,Quezon,508.3,404.8,279.5,"Tiaong, Quezon",508.3,404.8,279.5
Mananga,Minglanilla,Cebu,265.7,208.5,139.1,"Minglanilla, Cebu",265.7,208.5,139.1
,Talisay_City,Cebu,265.7,208.5,139.1,"Talisay_City, Cebu",265.7,208.5,139.1
Maranding,Baroy,Lanao_del_Norte,294.4,242,178.5,"Baroy, Lanao_del_Norte",294.4,242,178.5
,Kapatagan,Lanao_del_Norte,294.4,242,178.5,"Kapatagan, Lanao_del_Norte",294.4,242,178.5
,Lala,Lanao_del_Norte,294.4,242,178.5,"Lala, Lanao_del_Norte",294.4,242,178.5
,Salvador,Lanao_del_Norte,294.4,242,178.5,"Salvador, Lanao_del_Norte",294.4,242,178.5
,Sapad,Lanao_del_Norte,294.4,242,178.5,"Sapad, Lanao_del_Norte",294.4,242,178.5
,Tubod,Lanao_del_Norte,294.4,242,178.5,"Tubod, Lanao_del_Norte",294.4,242,178.5
,Aurora,Zamboanga_del_Sur,294.4,242,178.5,"Aurora, Zamboanga_del_Sur",294.4,242,178.5
Ogod,Camalig,Albay,490.3,386.4,260.5,"Camalig, Albay",490.3,386.4,260.5
,Guinobatan,Albay,490.3,386.4,260.5,"Guinobatan, Albay",490.3,386.4,260.5
,Jovellar,Albay,490.3,386.4,260.5,"Jovellar, Albay",490.3,386.4,260.5
,Pio_Duran,Albay,490.3,386.4,260.5,"Pio_Duran, Albay",490.3,386.4,260.5
,Donsol,Sorsogon,490.3,386.4,260.5,"Donsol, Sorsogon",490.3,386.4,260.5
