MUNI_PROV,t24_100yr,t24_25yr,t24_5yr
"Barotac_Viejo, Iloilo",304.5,241.5,165.2
"Barotac_Viejo, Iloilo",344.6,273,186.2
"Baroy, Lanao_del_Norte",294.4,242,178.5
"Barugo, Leyte",273,222.6,161.4
"Basay, Negros_Oriental",227.3,177.2,116.5
"Basco, Batanes",484,379.3,252.5
"Basey, Samar",509.4,407.4,283.8
"Basey, Samar",273,222.6,161.4
"Basilisa, Dinagat_Islands",553.9,433,286.5
"Basista, Pangasinan",440.5,352.9,246.7
"Basud, Camarines_Norte",520.3,411.1,278.7
"Batac_City, Ilocos_Norte",602,479.8,331.7
"Batad, Iloilo",344.6,273,186.2
"Batan, Aklan",344.6,273,186.2
"Batangas_City, Batangas",434.3,340.4,226.7
"Bataraza, Palawan",299.6,234.9,156.4
"Bato_Lake, Albay",490.3,386.4,260.5
"Bato_Lake, Camarines_Sur",490.3,386.4,260.5
"Bato, Camarines_Sur",490.3,386.4,260.5
"Bato, Catanduanes",574.4,449,297
"Bato, Leyte",316.3,259.6,190.8
"Batuan, Bohol",222.6,176.7,121.2
"Batuan, Masbate",490.3,386.4,260.5
"Bauan, Batangas",434.3,340.4,226.7
"Bauang, La_Union",1134,876.1,563.6
"Bauko, Mountain_Province",1134,876.1,563.6
"Baungon, Bukidnon",255.5,204,141.7
"Baungon, Bukidnon",265.3,214.8,153.6
"Baungon, Bukidnon",239.7,189.8,129.2
"Bautista, Pangasinan",440.5,352.9,246.7
"Bay, Laguna",434.3,340.4,226.7
"Bayabas, Surigao_del_Sur",483.1,389.7,276.5
"Bayambang, Pangasinan",440.5,352.9,246.7
"Bayang, Lanao_del_Sur",255.5,204,141.7
"Bayawan_City, Negros_Oriental",227.3,177.2,116.5
"Baybay_City, Leyte",273,222.6,161.4
"Baybay_City, Leyte",316.3,259.6,190.8
"Bayog, Zamboanga_del_Sur",294.4,242,178.5
"Bayombong, Nueva_Vizcaya",1134,876.1,563.6
"Bayugan_City, Agusan_del_Sur",308.6,248.3,175.2
"Belison, Antique",304.5,241.5,165.2
"Benito_Soliven, Isabela",427.9,345.5,245.6
"Benito_Soliven, Isabela",465.5,367.2,248
