River_Basins,Municipalities,Provinces,Rainfall event,,,FMC USE (for VLOOKUP),,,
,,,100 Yr,25 Yr,5 Yr,,,,
,Pasay_City,Metropolitan_Manila,415.6,328.8,223.5,"Pasay_City, Metropolitan_Manila",415.6,328.8,223.5
,Pasig_City,Metropolitan_Manila,481.2,373.6,243.1,"Pasig_City, Metropolitan_Manila",481.2,373.6,243.1
,Pateros,Metropolitan_Manila,481.2,373.6,243.1,"Pateros, Metropolitan_Manila",481.2,373.6,243.1
,Quezon_City,Metropolitan_Manila,481.2,373.6,243.1,"Quezon_City, Metropolitan_Manila",481.2,373.6,243.1
,Rodriguez,Rizal,481.2,373.6,243.1,"Rodriguez, Rizal",481.2,373.6,243.1
,San_Jose_del_Monte_City,Bulacan,481.2,373.6,243.1,"San_Jose_del_Monte_City, Bulacan",481.2,373.6,243.1
,San_Juan,Metropolitan_Manila,481.2,373.6,243.1,"San_Juan, Metropolitan_Manila",481.2,373.6,243.1
,San_Pedro,Laguna,377.6,301.5,209.4,"San_Pedro, Laguna",377.6,301.5,209.4
,Taguig,Metropolitan_Manila,481.2,373.6,243.1,"Taguig, Metropolitan_Manila",481.2,373.6,243.1
,Valenzuela,Metropolitan_Manila,481.2,373.6,243.1,"Valenzuela, Metropolitan_Manila",481.2,373.6,243.1
Pampanga_(53),Angat,Bulacan,481.2,373.6,243.1,"Angat, Bulacan",481.2,373.6,243.1
,Angeles_City,Pampanga,533.6,431.1,307,"Angeles_City, Pampanga",533.6,431.1,307
,Apalit,Pampanga,481.2,373.6,243.1,"Apalit, Pampanga",481.2,373.6,243.1
,Arayat,Pampanga,349.3,275.2,185.3,"Arayat, Pampanga",349.3,275.2,185.3
,Bacolor,Pampanga,415.6,328.8,223.5,"Bacolor, Pampanga",415.6,328.8,223.5
,Balagtas,Bulacan,481.2,373.6,243.1,"Balagtas, Bulacan",481.2,373.6,243.1
,Baliuag,Bulacan,481.2,373.6,243.1,"Baliuag, Bulacan",481.2,373.6,243.1
,Bocaue,Bulacan,481.2,373.6,243.1,"Bocaue, Bulacan",481.2,373.6,243.1
,Bulacan,Bulacan,481.2,373.6,243.1,"Bulacan, Bulacan",481.2,373.6,243.1
,Bustos,Bulacan,481.2,373.6,243.1,"Bustos, Bulacan",481.2,373.6,243.1
,Cabiao,Nueva_Ecija,349.3,275.2,185.3,"Cabiao, Nueva_Ecija",349.3,275.2,185.3
,Calumpit,Bulacan,415.6,328.8,223.5,"Calumpit, Bulacan",415.6,328.8,223.5
,Candaba,Pampanga,481.2,373.6,243.1,"Candaba, Pampanga",481.2,373.6,243.1
,Dinalupihan,Bataan,377.6,301.5,209.4,"Dinalupihan, Bataan",377.6,301.5,209.4
,Floridablanca,Pampanga,415.6,328.8,223.5,"Floridablanca, Pampanga",415.6,328.8,223.5
,Guagua,Pampanga,415.6,328.8,223.5,"Guagua, Pampanga",415.6,328.8,223.5
,Guiguinto,Bulacan,481.2,373.6,243.1,"Guiguinto, Bulacan",481.2,373.6,243.1
,Hagonoy,Bulacan,415.6,328.8,223.5,"Hagonoy, Bulacan",415.6,328.8,223.5
,Hermosa,Bataan,377.6,301.5,209.4,"Hermosa, Bataan",377.6,301.5,209.4
,Kalookan_City,Metropolitan_Manila,481.2,373.6,243.1,"Kalookan_City, Metropolitan_Manila",481.2,373.6,243.1
,Lubao,Pampanga,415.6,328.8,223.5,"Lubao, Pampanga",415.6,328.8,223.5
,Mabalacat,Pampanga,533.6,431.1,307,"Mabalacat, Pampanga",533.6,431.1,307
,Macabebe,Pampanga,415.6,328.8,223.5,"Macabebe, Pampanga",415.6,328.8,223.5
,Malolos_City,Bulacan,415.6,328.8,223.5,"Malolos_City, Bulacan",415.6,328.8,223.5
,Marilao,Bulacan,481.2,373.6,243.1,"Marilao, Bulacan",481.2,373.6,243.1
,Masantol,Pampanga,415.6,328.8,223.5,"Masantol, Pampanga",415.6,328.8,223.5
,Mexico,Pampanga,481.2,373.6,243.1,"Mexico, Pampanga",481.2,373.6,243.1
,Meycauayan_City,Bulacan,481.2,373.6,243.1,"Meycauayan_City, Bulacan",481.2,373.6,243.1
,Minalin,Pampanga,415.6,328.8,223.5,"Minalin, Pampanga",415.6,328.8,223.5
,Norzagaray,Bulacan,481.2,373.6,243.1,"Norzagaray, Bulacan",481.2,373.6,243.1
,Obando,Bulacan,415.6,328.8,223.5,"Obando, Bulacan",415.6,328.8,223.5
,Olongapo_City,Zambales,415.6,328.8,223.5,"Olongapo_City, Zambales",415.6,328.8,223.5
,Orani,Bataan,377.6,301.5,209.4,"Orani, Bataan",377.6,301.5,209.4
,Pandi,Bulacan,481.2,373.6,243.1,"Pandi, Bulacan",481.2,373.6,243.1
,Paombong,Bulacan,415.6,328.8,223.5,"Paombong, Bulacan",415.6,328.8,223.5
,Plaridel,Bulacan,481.2,373.6,243.1,"Plaridel, Bulacan",481.2,373.6,243.1
,Porac,Pampanga,415.6,328.8,223.5,"Porac, Pampanga",415.6,328.8,223.5
,Pulilan,Bulacan,481.2,373.6,243.1,"Pulilan, Bulacan",481.2,373.6,243.1
,Quezon_City,Metropolitan_Manila,481.2,373.6,243.1,"Quezon_City, Metropolitan_Manila",481.2,373.6,243.1
,San_Fernando_City,Pampanga,415.6,328.8,223.5,"San_Fernando_City, Pampanga",415.6,328.8,223.5
,San_Ildefonso,Bulacan,481.2,373.6,243.1,"San_Ildefonso, Bulacan",481.2,373.6,243.1
,San_Jose_del_Monte_City,Bulacan,481.2,373.6,243.1,"San_Jose_del_Monte_City, Bulacan",481.2,373.6,243.1
,San_Luis,Pampanga,481.2,373.6,243.1,"San_Luis, Pampanga",481.2,373.6,243.1
,San_Miguel,Bulacan,349.3,275.2,185.3,"San_Miguel, Bulacan",349.3,275.2,185.3
,San_Rafael,Bulacan,481.2,373.6,243.1,"San_Rafael, Bulacan",481.2,373.6,243.1
,San_Simon,Pampanga,481.2,373.6,243.1,"San_Simon, Pampanga",481.2,373.6,243.1
,Santa_Ana,Pampanga,349.3,275.2,185.3,"Santa_Ana, Pampanga",349.3,275.2,185.3
,Santa_Maria,Bulacan,481.2,373.6,243.1,"Santa_Maria, Bulacan",481.2,373.6,243.1
,Santa_Rita,Pampanga,415.6,328.8,223.5,"Santa_Rita, Pampanga",415.6,328.8,223.5
,Santo_Tomas,Pampanga,415.6,328.8,223.5,"Santo_Tomas, Pampanga",415.6,328.8,223.5
,Sasmuan,Pampanga,415.6,328.8,223.5,"Sasmuan, Pampanga",415.6,328.8,223.5
,Subic,Zambales,533.6,431.1,307,"Subic, Zambales",533.6,431.1,307
,Valenzuela,Metropolitan_Manila,481.2,373.6,243.1,"Valenzuela, Metropolitan_Manila",481.2,373.6,243.1
Panay,Roxas_City,Capiz,344.6,273,186.2,"Roxas_City, Capiz",344.6,273,186.2
,Sara,Iloilo,344.6,273,186.2,"Sara, Iloilo",344.6,273,186.2
,Sigma,Capiz,344.6,273,186.2,"Sigma, Capiz",344.6,273,186.2
,Cuartero,Capiz,344.6,273,186.2,"Cuartero, Capiz",344.6,273,186.2
,Dao,Capiz,344.6,273,186.2,"Dao, Capiz",344.6,273,186.2
,Dumarao,Capiz,344.6,273,186.2,"Dumarao, Capiz",344.6,273,186.2
,Ivisan,Capiz,344.6,273,186.2,"Ivisan, Capiz",344.6,273,186.2
,Ma_Ayon,Capiz,344.6,273,186.2,"Ma_Ayon, Capiz",344.6,273,186.2
,Panay,Capiz,344.6,273,186.2,"Panay, Capiz",344.6,273,186.2
,Panitan,Capiz,344.6,273,186.2,"Panitan, Capiz",344.6,273,186.2
,Pontevedra,Capiz,344.6,273,186.2,"Pontevedra, Capiz",344.6,273,186.2
Tagoloan,Cagayan_de_Oro_City,Misamis_Oriental,255.5,204,141.7,"Cagayan_de_Oro_City, Misamis_Oriental",255.5,204,141.7
,Malitbog,Bukidnon,265.3,214.8,153.6,"Malitbog, Bukidnon",265.3,214.8,153.6
,Manolo_Fortich,Bukidnon,265.3,214.8,153.6,"Manolo_Fortich, Bukidnon",265.3,214.8,153.6
,Tagoloan,Misamis_Oriental,239.7,189.8,129.2,"Tagoloan, Misamis_Oriental",239.7,189.8,129.2
,Villanueva,Misamis_Oriental,239.7,189.8,129.2,"Villanueva, Misamis_Oriental",239.7,189.8,129.2
Tagum,Panabo_City,Davao_del_Norte,202.1,165.5,121.1,"Panabo_City, Davao_del_Norte",202.1,165.5,121.1
,Santo_Tomas,Davao_del_Norte,202.1,165.5,121.1,"Santo_Tomas, Davao_del_Norte",202.1,165.5,121.1
,Tagum_City,Davao_del_Norte,202.1,165.5,121.1,"Tagum_City, Davao_del_Norte",202.1,165.5,121.1
,Asuncion,Davao_del_Norte,483.1,389.7,276.5,"Asuncion, Davao_del_Norte",483.1,389.7,276.5
,Braulio_E_Dujali,Davao_del_Norte,202.1,165.5,121.1,"Braulio_E_Dujali, Davao_del_Norte",202.1,165.5,121.1
,Carmen,Davao_del_Norte,202.1,165.5,121.1,"Carmen, Davao_del_Norte",202.1,165.5,121.1
,Davao_City,Davao_del_Sur,202.1,165.5,121.1,"Davao_City, Davao_del_Sur",202.1,165.5,121.1
,Mabini,Compostela_Valley,202.1,165.5,121.1,"Mabini, Compostela_Valley",202.1,165.5,121.1
